name,category,price,updated_at
Laptop Dell XPS,Electronics,1299.99,2024-01-15 10:00:00
iPhone 15 Pro,Electronics,999.00,2024-01-16 11:00:00
Samsung TV 55",Electronics,799.50,2024-01-17 12:00:00
Nike Air Max,Clothing,120.00,2024-01-18 09:00:00
Levi's Jeans,Clothing,89.99,2024-01-19 14:00:00
Coffee Maker,Home & Kitchen,45.50,2024-01-20 08:00:00
Stand Mixer,Home & Kitchen,299.99,2024-01-21 15:00:00
Wireless Mouse,Electronics,29.99,2024-01-22 10:30:00
Desk Chair,Office,199.00,2024-01-23 11:00:00
Notebook Set,Office,15.99,2024-01-24 13:00:00
